player_name,salary
justinjefferson,9300
tyreekhill,9000
austinekeler,8500
patrickmahomes,8300
joshallen,8100
stefondiggs,8100
tonypollard,8000
nickchubb,7900
amon-rast.brown,7900
bijanrobinson,7800
lamarjackson,7700
ceedeelamb,7700
keenanallen,7600
jaylenwaddle,7500
justinherbert,7500
derrickhenry,7400
calvinridley,7200
traviskelce,7200
justinfields,7100
chrisolave,7000
tuatagovailoa,7000
travisetiennejr.,6900
kirkcousins,6900
dkmetcalf,6900
aaronjones,6800
trevorlawrence,6800
garrettwilson,6800
anthonyrichardson,6700
rhamondrestevenson,6700
jahmyrgibbs,6600
dakprescott,6600
jaredgoff,6500
jerryjeudy,6500
t.j.hockenson,6500
jamescook,6400
tylerlockett,6400
deandrehopkins,6300
jamesconner,6300
michaelpittmanjr.,6200
kennethwalker,6200
deshaunwatson,6100
markandrews,6000
raheemmostert,6000
mikewilliams,6000
davidmontgomery,5900
christianwatson,5900
russellwilson,5900
alexandermattison,5800
brianrobinsonjr.,5800
gabedavis,5800
amaricooper,5700
ajdillon,5700
genosmith,5700
milessanders,5700
djmoore,5700
jordanlove,5600
jamaalwilliams,5600
dalvincook,5600
breecehall,5600
terrymclaurin,5600
zackmoss,5500
derekcarr,5500
javontewilliams,5500
jordanaddison,5500
zayflowers,5400
christiankirk,5400
joshuakelley,5400
samhowell,5400
isiahpacheco,5400
gusedwards,5300
michaelthomas,5300
c.j.stroud,5300
nicocollins,5300
macjones,5300
dameonpierce,5200
ezekielelliott,5200
bryceyoung,5200
brandincooks,5200
gardnerminshew,5100
tylerallgeier,5100
courtlandsutton,5100
kendrickbourne,5100
chubahubbard,5100
joshuadobbs,5100
khalilherbert,5100
ryantannehill,5000
desmondridder,5000
drakelondon,5000
de'vonachane,5000
dorianthompson-robinson,4900
jameiswinston,4900
mikewhite,4900
samajeperine,4900
zachwilson,4900
kyleallen,4900
jahandotson,4900
andydalton,4900
marquisebrown,4900
justicehill,4800
jeromeford,4800
romeodoubs,4800
evanengram,4800
salvonahmed,4800
eastonstick,4800
baileyzappe,4800
damienharris,4800
joshjohnson,4700
tylerhuntley,4700
elijahmoore,4700
taylorheinicke,4700
tankbigsby,4700
d'ernestjohnson,4700
allenlazard,4700
jacobybrissett,4700
antoniogibson,4700
cooperrush,4700
roschonjohnson,4700
rashodbateman,4600
malikwillis,4600
kareemhunt,4600
teddybridgewater,4600
seanclifford,4600
c.j.beathard,4600
jarrettstidham,4600
d'ontaforeman,4600
kadariustoney,4600
deonjackson,4500
odellbeckhamjr.,4500
willlevis,4500
pierrestrongjr.,4500
cordarrellepatterson,4500
tonyjonesjr.,4500
davismills,4500
devinsingletary,4500
zayjones,4500
nickmullens,4500
elijahdotson,4500
lataviusmurray,4500
zachcharbonnet,4500
claytontune,4500
ricodowdle,4500
blainegabbert,4500
jerickmckinnon,4500
melvingordon,4400
tyjaespears,4400
craigreynolds,4400
patricktaylor,4400
robertwoods,4400
mylesgaskin,4400
michaelcarter,4400
deucevaughn,4400
cowboys,4400
nathanpeterman,4400
skyymoore,4400
darnellmooney,4400
treylonburks,4300
kendremiller,4300
tychandler,4300
jujusmith-schuster,4300
drewlock,4300
jaxonsmith-njigba,4300
colekmet,4300
davidnjoku,4200
joshreynolds,4200
rashidshaheed,4200
keaontayingram,4200
marquezvaldes-scantling,4200
evanhull,4100
donovanpeoples-jones,4100
hunterhenry,4100
clydeedwards-helaire,4100
samehlinger,4000
keatonmitchell,4000
j.k.dobbins,4000
owenwright,4000
patrickricard,4000
benmason,4000
jakefunk,4000
jonathantaylor,4000
tylergoodson,4000
p.j.walker,4000
hassanhall,4000
juliuschestnut,4000
hassanhaskins,4000
jacquespatrick,4000
hendonhooker,4000
natesudfeld,4000
davidblough,4000
loganwoodside,4000
zonovanknight,4000
jasoncabinda,4000
godwinigwebuike,4000
averywilliams,4000
b.j.baylor,4000
keithsmith,4000
samlaporta,4000
alexmcgough,4000
jakehaener,4000
emanuelwilson,4000
henrypearson,4000
alvinkamara,4000
enobenjamin,4000
adamprentice,4000
jordanmims,4000
nathanrourke,4000
casekeenum,4000
jamycalhasty,4000
snoopconner,4000
derekparish,4000
mikeboone,4000
dareogunbowale,4000
andrewbeck,4000
troyhairston,4000
gerriddoaks,4000
skylarthompson,4000
bendinucci,4000
chrisbrooks,4000
jeffwilsonjr.,4000
alecingold,4000
darryntonevans,4000
jaleelmclaughlin,4000
dwaynewashington,4000
michaelburton,4000
tylerbadie,4000
maxduggan,4000
jarenhall,4000
isaiahspiller,4000
jaretpatterson,4000
kenenwangwu,4000
dewaynemcbride,4000
c.j.ham,4000
k.j.osborn,4000
mattcorral,4000
ianbook,4000
malikcunningham,4000
aaronrodgers,4000
timboyle,4000
kevinharris,4000
israelabanikanda,4000
xazavianvalladay,4000
nickbawden,4000
shanebuechele,4000
jakefromm,4000
nyheimhines,4000
reggiegilliam,4000
tyjohnson,4000
chrisrodriguezjr.,4000
derrickgore,4000
alexarmah,4000
kennymcintosh,4000
sarodorickthompsonjr.,4000
deejaydallas,4000
raheemblackshear,4000
tarikcohen,4000
jashauncorbin,4000
treylance,4000
kylermurray,4000
jeffdriskel,4000
ronaldjones,4000
hunterluepke,4000
malikdavis,4000
emaridemercado,4000
marlonmack,4000
coreyclement,4000
chrisoladokun,4000
tysonbagent,4000
la'micalperine,4000
denericprince,4000
travishomer,4000
khariblasingame,4000
robertburns,4000
kylepitts,3900
marvinmimsjr.,3900
adamthielen,3900
chiefs,3900
jaydenreed,3800
jaguars,3800
geraldeverett,3800
devanteparker,3800
djcharkjr.,3800
haydenhurst,3800
ravens,3700
daltonschultz,3700
curtissamuel,3700
michaelgallup,3700
tankdell,3600
braxtonberrios,3600
dolphins,3600
khalilshakir,3600
jakeferguson,3600
joshdowns,3500
mackhollins,3500
juwanjohnson,3500
patriots,3500
zachertz,3500
justinwatson,3500
alecpierce,3400
nickwestbrook-ikhine,3400
kalifraymond,3400
lions,3400
rivercracraft,3400
quentinjohnston,3400
tylerconklin,3400
daltonkincaid,3400
jonathanmingo,3400
michaelwilson,3400
chaseclaypool,3400
browns,3300
dontayvionwicks,3300
lukemusgrave,3300
taysomhill,3300
brandonjohnson,3300
joshuapalmer,3300
tymontgomery,3300
mecolehardmanjr.,3300
terracemarshalljr.,3300
rasheerice,3300
nelsonagholor,3200
marquisegoodwin,3200
chigokonkwo,3200
marvinjonesjr.,3200
johnmetchie,3200
lil'jordanhumphrey,3200
randallcobb,3200
dawsonknox,3200
laviskashenaultjr.,3200
seahawks,3200
rondalemoore,3200
devinduvernay,3100
kylengranson,3100
packers,3100
deonteharty,3100
dyamibrown,3100
loganthomas,3100
jalentolbert,3100
gregdortch,3100
tylanwallace,3000
seanryan,3000
laquontreadwell,3000
isaiahmckenzie,3000
juwannwinfree,3000
ashtondulin,3000
d.j.montgomery,3000
raceymcmath,3000
amarirodgers,3000
